path,lines,qt_widgets,qt_qobject,qt_core,qt_network,qt_qml,sqlite,posix
Letos/gui/dbobjlistmodel.h,61,0,2,4,0,0,0,0
Letos/gui/debugconsole.cpp,80,4,0,6,0,0,0,0
Letos/gui/debugconsole.h,45,3,1,5,0,0,0,0
Letos/gui/debugconsole.ui,74,2,0,0,0,0,0,0
Letos/gui/extendedpalette.cpp,86,0,0,2,0,0,0,0
Letos/gui/extendedpalette.h,39,0,0,3,0,0,0,0
Letos/gui/formmanager.cpp,203,8,0,37,0,0,0,0
Letos/gui/formmanager.h,49,4,2,17,0,0,0,0
Letos/gui/formview.cpp,315,5,5,7,0,0,0,0
Letos/gui/formview.h,117,5,10,6,0,0,0,0
Letos/gui/icon.cpp,290,0,0,20,0,0,0,0
Letos/gui/icon.h,81,0,0,21,0,0,0,0
Letos/gui/iconmanager.cpp,214,1,1,38,0,0,0,0
Letos/gui/iconmanager.h,362,0,2,37,0,0,1,0
Letos/gui/mainwindow.cpp,1647,48,5,78,0,0,4,0
Letos/gui/mainwindow.h,381,23,26,33,0,0,1,0
Letos/gui/mainwindow.ui,161,11,0,0,0,0,0,0
Letos/gui/mdiarea.cpp,320,33,6,15,0,0,0,0
Letos/gui/mdiarea.h,80,8,1,11,0,0,0,0
Letos/gui/mdichild.cpp,94,2,0,12,0,0,0,0
Letos/gui/mdichild.h,74,3,1,8,0,0,0,0
Letos/gui/mdiwindow.cpp,242,23,0,12,0,0,0,0
Letos/gui/mdiwindow.h,50,3,1,5,0,0,0,0
Letos/gui/qtscriptsyntaxhighlighter.cpp,461,7,0,15,0,0,0,0
Letos/gui/qtscriptsyntaxhighlighter.h,70,1,1,3,0,0,0,0
Letos/gui/searchtextlocator.cpp,281,2,7,12,0,0,0,0
Letos/gui/searchtextlocator.h,81,3,3,6,0,0,0,0
Letos/gui/selectabledbmodel.cpp,99,0,2,4,0,0,0,0
Letos/gui/selectabledbmodel.h,36,0,1,6,0,0,0,0
Letos/gui/selectabledbobjmodel.cpp,254,1,2,8,0,0,0,0
Letos/gui/selectabledbobjmodel.h,46,1,2,11,0,0,0,0
Letos/gui/sqlcompareview.cpp,141,1,0,12,0,0,0,0
Letos/gui/sqlcompareview.h,35,1,0,10,0,0,0,0
Letos/gui/sqleditor.cpp,2157,55,4,144,0,0,0,0
Letos/gui/sqleditor.h,361,17,25,50,0,0,0,0
Letos/gui/sqlitesyntaxhighlighter.cpp,453,8,0,11,0,0,0,0
Letos/gui/sqlitesyntaxhighlighter.h,203,2,2,15,0,0,0,0
Letos/gui/sqlview.cpp,47,2,0,4,0,0,0,0
Letos/gui/sqlview.h,26,3,1,2,0,0,0,0
Letos/gui/statusfield.cpp,332,19,2,23,0,0,0,0
Letos/gui/statusfield.h,106,7,4,14,0,0,0,0
Letos/gui/statusfield.ui,101,2,0,0,0,0,0,0
Letos/gui/style.cpp,80,5,2,2,0,0,0,0
Letos/gui/style.h,42,0,2,2,0,0,0,0
Letos/gui/syntaxhighlighterplugin.h,20,2,0,2,0,0,0,0
Letos/gui/taskbar.cpp,431,37,2,4,0,0,0,0
Letos/gui/taskbar.h,82,22,2,4,0,0,0,0
Letos/gui/themetuner.cpp,128,10,2,16,0,0,0,0
Letos/gui/themetuner.h,53,5,4,17,0,0,0,0
Letos/gui/uiconfig.cpp,201,4,4,33,0,0,0,0
Letos/gui/uiconfig.h,196,0,0,49,0,0,0,0
Letos/gui/uicustomicon.cpp,31,2,0,2,0,0,0,0
Letos/gui/uicustomicon.h,17,1,0,1,0,0,0,0
Letos/gui/uidebug.cpp,177,0,8,47,0,0,0,0
Letos/gui/uidebug.h,53,0,5,20,0,0,0,0
Letos/gui/uiloader.cpp,96,12,1,9,0,0,0,0
Letos/gui/uiloader.h,34,7,2,10,0,0,0,0
Letos/gui/uiloaderpropertyhandler.h,17,2,0,2,0,0,0,0
Letos/gui/uiscriptingcombo.cpp,27,4,0,1,0,0,0,0
Letos/gui/uiscriptingcombo.h,17,1,0,1,0,0,0,0
Letos/gui/uiscriptingedit.cpp,98,7,2,5,0,0,0,0
Letos/gui/uiscriptingedit.h,40,3,3,3,0,0,0,0
Letos/gui/uiurlbutton.cpp,28,1,1,2,0,0,0,0
Letos/gui/uiurlbutton.h,17,1,0,1,0,0,0,0
Letos/gui/uiutils.cpp,299,39,10,33,0,0,0,0
Letos/gui/uiutils.h,57,20,0,23,0,0,0,0
Letos/gui/widgetresizer.cpp,142,7,0,0,0,0,0,0
Letos/gui/widgetresizer.h,49,7,1,0,0,0,0,0
Letos/letos/CMakeLists.txt,115,1,0,0,0,0,0,0
Letos/letos/main.cpp,225,6,19,17,0,0,0,0
Letos/letos/singleapplication/singleapplication.cpp,477,0,3,12,0,0,0,2
Letos/letos/singleapplication/singleapplication.h,136,0,1,2,0,0,0,0
Letos/letos/singleapplication/singleapplication_p.h,86,0,2,1,0,0,0,0
Letos/gui/common/bindparam.h,17,0,0,5,0,0,0,0
Letos/gui/common/booltoolbutton.cpp,8,1,0,0,0,0,0,0
Letos/gui/common/booltoolbutton.h,16,1,1,0,0,0,0,0
Letos/gui/common/centerediconitemdelegate.cpp,42,2,1,0,0,0,0,0
Letos/gui/common/centerediconitemdelegate.h,16,0,1,0,0,0,0,0
Letos/gui/common/colorbutton.cpp,40,2,1,0,0,0,0,0
Letos/gui/common/colorbutton.h,31,3,1,0,0,0,0,0
Letos/gui/common/colorpickerpopup.cpp,237,12,1,7,0,0,0,0
Letos/gui/common/colorpickerpopup.h,57,5,1,7,0,0,0,0
